consensus,batch,tps,k_fault,fault_family,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,2,couchdb,2,20.126724,36.044,14.684,53.93000000000001,60,4.805866666666666,1.9578666666666666
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,2,orderer,10,2.0187242999999997,586.775,646.568,1090.172,60,78.23666666666666,86.20906666666666
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,2,peer,2,20.818276,268.995,207.11,129.588,60,35.866,27.61466666666667
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,3,ca,3,0.00022999999999999998,0.0034000000000000002,0.0,0.0,60,0.00045333333333333337,0.0
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,3,chaincode,2,8.115862,40.98,30.3116,0.0,60,5.4639999999999995,4.041546666666666
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,3,couchdb,2,19.866379000000002,36.042,14.684,54.129999999999995,60,4.8056,1.9578666666666666
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,3,orderer,10,2.0026207,583.26,650.6869999999999,1085.38,60,77.768,86.75826666666666
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,3,peer,2,20.604999999999997,268.999,208.015,129.588,60,35.86653333333334,27.735333333333333
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,4,ca,3,0.00011499999999999999,0.0029,0.0,0.0,60,0.0003866666666666666,0.0
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,4,chaincode,2,7.9010345,40.982,30.3135,0.0,60,5.464266666666666,4.0418
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,4,couchdb,2,23.188621,36.044,14.685,53.93000000000001,60,4.805866666666666,1.958
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,4,orderer,10,1.7074139,582.876,650.528,1085.584,60,77.71679999999999,86.73706666666666
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,4,peer,2,20.827413500000002,268.996,208.012,129.588,60,35.86613333333333,27.734933333333334
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,5,ca,3,0.002988666666666667,0.0019,0.0,0.0,60,0.00025333333333333333,0.0
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,5,chaincode,2,8.120345,40.982,30.3136,0.0,60,5.464266666666666,4.041813333333334
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,5,couchdb,2,20.336207,36.044,14.684,53.93000000000001,60,4.805866666666666,1.9578666666666666
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,5,orderer,10,1.9407588,586.101,646.788,1091.791,60,78.1468,86.2384
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,5,peer,2,18.9303445,268.97700000000003,208.095,129.588,60,35.863600000000005,27.746
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,ca,3,0.0003446666666666667,0.0019,0.0,0.0,60,0.00025333333333333333,0.0
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,chaincode,2,7.3755175,24.749,26.8493,0.0,60,3.2998666666666665,3.5799066666666666
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,couchdb,2,20.742586,20.5,25.22,43.8,60,2.7333333333333334,3.3626666666666667
